idna_subject,checker_type,destination,tested_at
lp.xapads.com,AVAILABILITY,domains.list,2021-03-19 05:56:25.812222
ls.infolinks.com,AVAILABILITY,domains.list,2021-03-19 05:56:27.320935
ltv-spark-webui.kube-prod.vungle.com,AVAILABILITY,domains.list,2021-03-19 05:56:36.275198
lumpyleaf.com,AVAILABILITY,domains.list,2021-03-19 05:56:40.319857
lw2cdn.cpmstar.com,AVAILABILITY,domains.list,2021-03-19 05:56:42.066251
lw3cdn.cpmstar.com,AVAILABILITY,domains.list,2021-03-19 05:56:43.401986
lwcdn.cpmstar.com,AVAILABILITY,domains.list,2021-03-19 05:56:44.449234
m2.adup-tech.com,AVAILABILITY,domains.list,2021-03-19 05:56:54.229015
m4.afs.googleadservices.com,AVAILABILITY,domains.list,2021-03-19 05:56:56.201099
m12n.servebom.com,AVAILABILITY,domains.list,2021-03-19 05:57:00.284135
m.adsymptotic.com,AVAILABILITY,domains.list,2021-03-19 05:57:07.397218
m.ambientplatform.vn,AVAILABILITY,domains.list,2021-03-19 05:57:14.507989
m.cdn.intentmedia.net,AVAILABILITY,domains.list,2021-03-19 05:58:23.705217
m.gafin.vn,AVAILABILITY,domains.list,2021-03-19 05:58:36.240747
m.intentmedia.net,AVAILABILITY,domains.list,2021-03-19 05:59:46.956568
m.leadbolt.net,AVAILABILITY,domains.list,2021-03-19 05:59:48.593666
m.servebom.com,AVAILABILITY,domains.list,2021-03-19 06:00:00.214584
m.webtrends.com,AVAILABILITY,domains.list,2021-03-19 06:00:07.342479
mads.cnet.com,AVAILABILITY,domains.list,2021-03-19 06:00:32.525183
mads-eu.amazon-adsystem.com,AVAILABILITY,domains.list,2021-03-19 06:00:39.936489
mads-fe.amazon-adsystem.com,AVAILABILITY,domains.list,2021-03-19 06:00:40.684939
mail1.adform.net,AVAILABILITY,domains.list,2021-03-19 06:00:53.225758
mailingsmtp.adswizz.com,AVAILABILITY,domains.list,2021-03-19 06:00:57.355779
main.clicksor.com,AVAILABILITY,domains.list,2021-03-19 06:01:00.450819
mappealist.club,AVAILABILITY,domains.list,2021-03-19 06:01:36.523987
marathon.prd.fyber.com,AVAILABILITY,domains.list,2021-03-19 06:01:40.314191
marketing.upsight.com,AVAILABILITY,domains.list,2021-03-19 06:02:23.058893
marketplace.rakutenmarketing.com,AVAILABILITY,domains.list,2021-03-19 06:02:36.736968
marmalade.adthrive.com,AVAILABILITY,domains.list,2021-03-19 06:02:39.622655
marmalade-cdn.adthrive.com,AVAILABILITY,domains.list,2021-03-19 06:02:40.482345
master.ulv.statistics.aatkit.com,AVAILABILITY,domains.list,2021-03-19 06:02:47.243632
match-us-east-1.sharethrough.com,AVAILABILITY,domains.list,2021-03-19 06:03:00.317980
maxcdn.quantserve.com,AVAILABILITY,domains.list,2021-03-19 06:04:33.745217
maxis.krxd.net,AVAILABILITY,domains.list,2021-03-19 06:04:35.976382
mbe-cdn-rtb.fyber.com,AVAILABILITY,domains.list,2021-03-19 06:04:44.625608
mbe-cdn-rtb-staging.fyber.com,AVAILABILITY,domains.list,2021-03-19 06:04:46.039621
mbe-monitoring.fyber.com,AVAILABILITY,domains.list,2021-03-19 06:05:59.072127
mc.servebom.com,AVAILABILITY,domains.list,2021-03-19 06:06:07.014913
mdsp.popadsdsp.com,AVAILABILITY,domains.list,2021-03-19 06:06:33.169614
measure.mobileapptracking.com,AVAILABILITY,domains.list,2021-03-19 06:06:40.612744
mebed.dm.gg,AVAILABILITY,domains.list,2021-03-19 06:06:43.859898
med.heyzap.com,AVAILABILITY,domains.list,2021-03-19 06:08:02.385000
media1.yomedia.vn,AVAILABILITY,domains.list,2021-03-19 06:08:04.934894
media3.adrealclick.com,AVAILABILITY,domains.list,2021-03-19 06:08:09.151501
media5.adrealclick.com,AVAILABILITY,domains.list,2021-03-19 06:08:12.922086
media.adasiaholdings.com,AVAILABILITY,domains.list,2021-03-19 06:08:24.369443
media.ftv-publicite.fr,AVAILABILITY,domains.list,2021-03-19 06:08:53.634439
media.quantserve.com,AVAILABILITY,domains.list,2021-03-19 06:09:11.012667
media.sharethrough.com,AVAILABILITY,domains.list,2021-03-19 06:09:12.950832
meet.ssl2.duapps.com,AVAILABILITY,domains.list,2021-03-19 06:10:09.172832
mega1.yeah1publishing.com,AVAILABILITY,domains.list,2021-03-19 06:10:15.580219
megatron.bnmla.com,AVAILABILITY,domains.list,2021-03-19 06:10:19.781969
